Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
05/10/1928	21:00 UNK	05/10/1928	22:00 UNK	37 deg 05' N	123 deg 36' W	SS Tahiti	C. R. Carlyon, Fourth Officer	May 10th, 1928, between 9 p.m. and 10 p.m. Wind N.W., force 4. Moderate N.W. sea and slight swell. Temperature, Air 57 deg, sea 58 deg. Ship passed through frequent lines and patches of water which appeared white, as if there were phosphorescence under the surface, the glow being dull and undisturbed by the break of the sea. At first thought it was fish, but on approach of the ship no movement was notieable. The night was very drk, sky being overcast with Nimbus, Stratus and St.-Cu. Clouds. In the distance it was very similar to breakers over shallow water. Ship's position at 8 p.m. was Latitude 37 deg 05' N., Longitude 123 deg 36' W.	Mar. Obs. 1929, 05, Vol VI, no 65	California	Milky Sea	0	N/A	57
08/12/1928	20:00 LOC	08/13/1928	04:00 LOC	12 deg 30' N	54 deg 36' E	SS Rhexenor	A. Marwood, Third Officer	12th August, 1928, approaching East end of Sokotra 8 p.m. to 4 a.m. 13th August A.T.S. Between these hours the whole of the sea from horizon to horizon became frequently covered with a milky appearance. Although a sea and swell of force 6, and a S.W. wind of 7, was the weather at the time, the sea dropped to a calm, and the swell diminished considerably, yet the wind remained the same, whilst the vessel was in these patches. The temperature of the air remained at 79 deg F. the whole night, whilst the sea water ranged between 79 deg F. and 70 deg F. The sky line appeared to be quite misty during the patches yet the mast head lights of an approaching vessel were visible at least 10 miles. 	Mar. Obs 1929, 08, Vol VI, no 68	Socotra	Milky Sea	0	N/A	58
08/14/1928	19:00 LOC	08/15/1928	(?)	4 deg 53' S	129 deg 17' E	SS Arafura	B. W. Dun.	On August 14th, 1928, at 1900 A.T.S. (1033 M.T.G.) in Latitude 4 deg 53' S., Longitude 129 deg 17' E., with approaching darkness the sea was observed to be luminous and when the sky was completely dark the effect was very extraordinary. It did not appear to be caused by surface phosphorescence as the bow waves did not give the usual sparkle as when steaming through phosphorescence, but were quite dead. The intensity appeared to process from large quantities of phosphorescence deep down in the water, causing a diffused light to brighten up the whole sea. This phenomenon continued with varying degrees of intensity throughout the night and at daybreak the following morning the sea was its usual deep blue black. At noon, Augus 14th (0333 M.T.G.), the density of the sea was 1,022 1/2, temperature 80 deg at 1900 A.T.S., desnity 1,023 1/2, temperature 76 deg, at midnight 1,024, and temperature 78 deg at 0400 A.T.S. 15th density 1,023, temperature 77 deg. Bird Island (Manuk) was passed 240 deg distant, 2.5 miles at 0230 A.T.S. on 15th, and at 0546 stars but ship in Latitude 5 deg 48' S., Longitude 130 deg 46' E. Course 125 deg, speed 9.9 kts. Wind S.E., force 4, sea moderate.	Mar. Obs. 1929, 08, Vol VI, no 68	Banda Sea	Milky Sea	0	N/A	59
08/20/1928	00:50 LOC	08/20/1928	01:45 LOC	11 deg 50' N	60 deg 00' E	SS Kashmir	W.E. Riley, Fourth Officer	On August 20th, between 0050 a.m. and 0145 a.m. (Ship's time), we passed through a large patch of 'white water.' The sea became the colour of milk and was slightly luminous and whereas previously the sky had been lighter in appearance than the sea, the reverse now took place. A rough sea was running at the time and the wave tops had been quite conspicuous, but on meeting this discoloured water the sea appeared to calm down and no water came on board during the time the ship was passing through. Its western limit was quite well defined, more so than the eastern edge, and the former was visible quite fifteen or twenty minutes before the ship arrived there. Its track, if it was moving at all, appeared to be from North West to South East. Position at the time Latitude 11 deg 50' N., Longitude 60 deg 00' E. Weather Conditions: Wind S.S.W., force 6-7. Barometer 29.83 in. Temperature, Air 78. Sky clouded over one-third, fr-cu. and st-cu. Sea and swell S.W'ly, rough.	Mar. Obs. 1929, 08, Vol VI, no 68	Arabian Sea	Milky Sea	0	N/A	60
09/09/1928	(?)	09/09/1928	(?)	05 deg 54' N	80 deg 48' E	SS Tampa	(?)	9th Sep., 1928. Observers spotted a triangular area of white milky water sharply differing from the surrounding surface. After a quarter of an hour the steamer entered the area and the entire sea became milky white. The surface of the water seemed to be covered by a luminescent surf. A spot 5 meters in diameter was swarming with shining balls. In two hours the steamer was again surrounded by the usual water. Posn: 05 deg 54' N, 80 deg 48' E.	E.W. Barlow's Records	Sri Lanka	Milky Sea	0	N/A	61
12/31/1928	20:55 LOC	12/31/1928	22:20 LOC	10 deg 23' N	53 deg 41' E	SS Nowshera	W. Ashcroft, Third Officer	December 31st, 1928, Latitude 10 deg 23' N., Longitude 53 deg 41' E. at 20.00 A.T.S. Wind N.E., force 5. Barometer 29.913 in. Temperature Air 75 deg. Sea 78 deg. Sea and swell N.E.4. Cumulus 1/10th. Steering 306 deg 12 1/2 knots, the sea water was of a whitish appearance, at 20.55 A.T.S. the water was its normal colour, at 21.35 A.T.S. it was again of a whitish appearance, and at 22.20 A.T.S. was its normal colour.	Mar. Obs. 1929, 12, Vol VI, no 72	Somalia	Milky Sea	0	N/A	62
07/09/1929	02:30 LOC	07/09/1929	03:55 LOC	12 deg 35' N	55 deg 32' E	SS Oronsay	W. Rice, Second Officer; E. M. Mackay, Fourth Officer	At 02.30 A.T.S. on July 9th, 1929, in Latitude 12 deg 35' N., Longitude 55 deg 32' E. entered an area of phosphorescence water, extending from horizon to horizon, of whitish appearance. Ship steering 103 deg at 15.3 knots. At 3 a.m. the temperature of the sea was 77 deg F. Sky cloudless. Slight haze round the horizon. Strong S.W. wind, squally, moderately rough sea. At 03.55 A.T.S. ship passed out of this area.	Mar. Obs. 1930, 07, Vol VII, no 79, E.W. Barlow's Records	Somalia/Socotra	Milky Sea	0	N/A	63
07/11/1929	03:30 LOC	07/11/1929	05:20 LOC	11 deg 00' S	127 deg 15' E	SS Marella	J. Cumming, Fourth Officer	11th July, 1929, at 3.30 a.m. while crossing the Timor Sea, wind E.S.E. 4, sea 2, sky heavily clouded, the whole expanse of sea surrounding the ship took a phosphorescent glow, giving it the appearance of being lighted from beneath. The horizon line was clearly defined, the sky appearing black and the sea lighted as stated above. At 5 a.m. sea commencted to darken, and at 5.20 a.m. was normal. As the speed of the vessel was about twelve knots, the diameter of this phenomenon must have been about 22 miles.	Mar. Obs. 1930, 07, Vol VII, no 79	Timor Sea	Milky Sea	0	N/A	64
07/14/1929	01:20 LOC	07/14/1929	03:00 LOC	7 deg 30' N	57 deg 00' E	SS Tongariro	G. D. Baldwin.	July 14th, 1929, at 1.20 a.m. A.T.S. in Latitude 7 deg 30' N., Longitude 57 deg 00' E. Sea became bright milky white in colour against a dark cloudless sky, giving the appearance of a bright moonlight night. At 2.00 a.m. a draw bucket showed water alive with phosphorescence, also that the temperature of the water had fallen 4 1/2 deg to 74.2 deg. At 3.00 a.m. conditions gradually becoming normal. Barometer 1008.7 mb. Temperature, Dry Bulb 75.3 def F., Wet Bulb 73.8 deg F., Sea 74.2 deg F. Wind S.S.W. force 4. Fine. Clear overhead with slight haze around horizon.	Mar. Obs. 1930, 07, Vol VII, no 79	Somalia	Milky Sea	0	N/A	65
07/31/1929	20:00 LOC	07/31/1929	21:50 LOC	12 deg 22' N	56 deg 28' E	SS Laomedon	O. P. H. Wynne, Third Officer	July 31st, 1929, 20.00 A.T.S. in Latitude 12 deg 22' N. Longitude 56 deg 28' E. Barometer 29.77 in. Wind S.S.W. force 6 with rough sea and swell; at 19.00 when darkness set in, the ship appeared to be surrounded by a luminous halo reflected from the water. By 20.00 the water had turned a greyish white colour which, however, did not appear to be caused by surface phosphorescence as there was little or no sparkle from the bow wave. This discolouration extended to the horizon in all directions giving it a misty appearance except between S.S.E. and W.S.W. where the horizon remained clearly defined. This phenomenon continued until 21.50 when it gradually closed in round the ship again and finally disappeared leaving the sea a normal colour with no phosphorescence. While the ship was in this discoloured water, the sea appeared to calm down considerably though the wind remained force 6. The air temperature remained steady at 79 deg F. but the sea temperature fell from 78 deg F. to 76 deg F. buthad rised to 79 deg. by 23.00 hrs.	Mar. Obs. 1930, 07, Vol VII, no 79	Somalia/Socotra	Milky Sea	0	N/A	63
08/02/1929	21:45 LOC	08/02/1929	23:45 LOC	12 deg 49' N	50 deg 26' E	SS Kasama	A. J. Brown, Third Officer	Whilst reading the August, 1929, number of The Marine Observer I saw the reports of unusual phosphorescence in the Arabian Sea, and as we experienced a similar occurrence in corresponding month fairly near the same locality, I thought you might be interested to know of it. On Friday, 2nd August, 1929, in the Gulf of Aden, Latitude 12 deg 49' N., Longitude 50 deg 26' E., course 264 deg, 11 knots. At 9.30 p.m. A.T.S. the ship appeared to be approaching a bank of mist and at 9.45 p.m. ran into 'White Water'. In a short time the sea from horizon to horizon appeared as one expanse of snow. It has been described as the colour of milk, which is an excellent description, but should not be confused with what is usually termed 'Milky' for this was a pure white. The sea immediately moderated. The usual sparkling effect was totally absent, the phosphorescence evidently being at a considerable depth. This was a most extraordinary sight and lasted until 11.45 p.m., when we ran out of the 'White Water' into that of a normal colour.	Mar. Obs. 1930, 08, Vol VII, no 80	Arabian Sea	Milky Sea	0	N/A	66
08/18/1930	17:38 GMT	08/18/1930	20:38 GMT	15 deg 30' N	58 deg 10' E	SS Narkunda	A. W. Frankling, Cadet; C. H. Moulton, Second Officer	Monday, August 18th, 1930, at 1738 G.M.T., observed apparent clearing and brightening of sky to the south-westward. At 1808 hours observed sea impregnated with phosphorescence. At 1818 hours ship encountered phosphorescenct sea, and in a few minutes the whole sea all round, to the limits of visibility, was phosphorescent, giving a peculiar effect, somewhat like a moderated moonlight night, with a calm sea in shallow water. Breaking waves showed up as temporary dark patches. There was a very definite line of demarcation where the phosphorescence began, and it appeared to be travelling in a N.E'ly direction. At 1938 hours the phosphorescence began to ease off-by 2008 hours it was much less, and by 2038 hours on the moon rising it was no longer discernible to the naked eye. From 1853 to 1923 we passed some hundreds of what appeared to be dead snakes, motionless, many passing very close to the ship's side, being plainly visible in the light thrown from the ship's decks and showing up black in the phosphorescence. Some were more or less straight, others in sinuous forms and apparently tangled. On a wave breaking over them, there was no sign of movement or life. At 1800 G.M.T., Latitude 15 deg 30' N., Longitude 58 deg 10' E., Barometer 29.63 in., Temperature, Air 76 def F., Sea 77 deg F. Sea temperature at 1900 hrs. 74 deg F., Wind S.S.W. force 6/5, Sea S.W. 5, Swell S.W. 7, Cloud Fr.-Cu., A.-Cu.	Mar. Obs. 1931, 08, Vol VIII, no 92	Arabian Sea	Milky Sea	0	N/A	67
08/20/1930	19:30 LOC	08/21/1930	01:20 LOC	12 deg 38' N	55 deg 19' E	SS Atreus	E. A. H. Gepp, Third Officer	In view of various reports, which have from time to time been published in The Marine Observer, concerning "White Water" in and near the Gulf of Adean, it is interesting to note that exactly the same conditions and appearance were observed on the night of the 20th August, 1930, from S.S. Atreus. The milky appearance of the sea was first observed at 7.30 p.m. (A.T.S.), one hour and twenty minutes after sunset, in Latitude 12 deg 38' N., Longitude 55 deg 19' E., ship then steering 105 deg at 13 knots. The general appearance of the sea was a whitish, milky liquid, entirely lacking in the bright sparkle usually associated with phosphorescence, and giving to an observer the impression of sources of light at some considerable depth below the surface. Although the sky was practically cloudless, and the visibility good, as observed by the lights of another vessel proceeding in the same direction some miles distant, it appeared as though there was a thick haze or mist over the sea, which at times rendered the horizon totally indiscernible. Until 11.30 p.m. (A.T.S.) this "white water" was enocuntered in large patches, some stretching as far as the eye could see, the patches being interspersed with small darking patches and irregularly shaped belts of normal sea water. Over these latter patches there was no apeparance as of haze or mist, though this was readily discernible above the "milky" patches. After 1.20 a.m. (A.T.S.) in Latitude 12 deg 20' N., Longitude 56 deg 27' E., the ship apparently ran out of the "white water," as no more "milky" patches were to be seen. Upon first entering the above area, the wind, sea, and swell, which had been heavy from the S.W., began to moderate. Temperature off air was 79.3 def F and sea 78.0 deg F during this period.	Mar. Obs. 1931, 08, Vol VIII, no 92	Arabian Sea	Milky Sea	0	N/A	67
08/28/1930	23:00 LOC	08/29/1930	02:50 LOC	13 deg 47' N	53 deg 32' E	SS Trojan Star	L. S. Hassell, Second Officer	On August 28th, 1930, at about 11 p.m. A.T.S., north of Socotra, the vessel ran suddenly into a line of milky luminescence stretching from horizon to horizon in a north and south line, in about Latitude 13 deg 14' N., Longitude 52 deg 57' E. This appearance gave a perfectly radiant glow, making the heavens appear an inky black. All the stars were showing, and the sea after steaming for about an hour in an easterly direction had the appearance of a field of snow, being illuminated from underneath, in fact the phenomenon was almost indescribable. Several samples of the water were taken in a bucket, and when examined in the dark seemed to contain thousands of very thin lines of light, some apparently about half an inch in length, others much shorter, but when the water was examined in the light in the chartroom, very little could be seen. A bottle of this water has been retained. There was absolutely no sparkle in the water as in ordinary luminescence, and the waves broke seemingly of a black colour. The discharge from the condenser also appeared black. The sea was rough. Just before steaming out of this patch, the appearance seemed to increase in brilliancy, and I can only describe the effect as a vessel steaming through a field of pure white, illuminated show. We steamed out of this at 2.50 a.m. A.T.S. as suddenly as we entered it, in Latitude 13 deg 47' N., Longitude 53 deg 32' E., and after getting into normal water a brilliant glow was visible from north to south astern the ship.	Mar. Obs. 1931, 08, Vol VIII, no 92	Arabian Sea	Milky Sea	0	N/A	67
09/04/1931	(?)	09/05/1931	(?)	11 deg 30' N	60 deg 00' E	Trier	Günther Holste, Third Officer	Auf der Reise von Sokotra nach Minikoi wurde am 4. September 1931 unter etwa 11 1/2 N 60 O ein außergewöhnlich starkes meerleuchten beobachtet, ebenso am 5. September unter 10 40' N, 64 O. Das Meer war in eine weißliche Masse verwandelt und glich einer ungeheuren Easfläche. Der Himmel, der zuerst durch einen hellen Schein auf das kommende Meerleuchten aufmerksam machte, erschiem später schwarz-blau, wodurch die Sterne an Leuchtkraft gewannen. Das Bild war einer Polarlandschaft zu vergleichen; es fehlte zur Vervollständigung nur noch das Polarlicht. Wir vermuten, daß der Erreger des Leuchtens Radiolarien gewesen sind.	Tim Wyatt, Unpublished Notes/Paper	Arabian Sea	Milky Sea	0	N/A	68
10/31/1931	(?)	10/31/1931	(?)	12 deg 51' N	54 deg 55' W	Asphalion	A. V. Potter, Third Officer	Steaming into a heavy southwest swell, the Asphalion was recently in the Atlantic at Lat. 12 degrees 51 minutes N., Long. 54 degrees 55 minutes W. when rough broken seas were met, Potter reported. The water, however appeared to be smooth, because each combing breaker left a shadowless wake of white, boiling water. "The expanse of water had every semblance of a sea of milk," he reported. The phenomenon continued for five hours, throwing the horizon of ink-black sky and milky sea into bold contrast.	The New York Times, Nov. 1, 1931	North Atlantic	Milky Sea	0	N/A	69
12/07/1931	20:40 GMT	12/07/1931	22:34 GMT	16 deg 56' S	3 deg 55' E	SS Herminius	A. G. Collins, Third Officer	December 7th, 1931, between the hours of 2040 and 2234 G.M.T. observed phosphorescent sea. The night was very dark, although the sky was cloudless and the stars brilliant. The phenomenon covering the whole of the sea all round the horizon to the limits of visibility, gave the effect of the sea being illuminated by some unseen light underneath which was both peculiar and beautiful. There was no premature disturbance or warning of any description the vessel running suddenly into a mass of pale, but intense green sea with silvery-white edges to the waves, somewhat similar in appearance to the illuminated dial of a wrist-watch, and on a much larger scale. The waves, breaking in the distance, gave the appearance of the sails of a small yacht having a beam of light played upon them (as from a powerful electric torch). As each bow wave broke, the white paintwork of the bridge and vessel's superstructure was brilliantly illuminated, and as the wave settled abaft the beam the contrast between the phosphorescence and the darker or non-phosphorescent water was most marked. Scattered throughout the sea, in proximity to the vessel, were numerours small balls of phosphorous, giving an illumination of greater intensity. After about two hours the vessel passed out of this phosphorescent area as quickly as she entered it. Phosphorescent observed between Latitude 16 deg 56' S., Longitude 3 deg 55' E. and Latitude 17 deg 16' S., Longitude 4 deg 11' E. Ship's course 143 deg, speed 12 1/2 knots.	Mar. Obs. 1932, 12, Vol IX, no 108	South Atlantic	Milky Sea	0	N/A	70
12/29/1931	20:15 LOC	12/29/1931	17:45 GMT	11 deg 52' N	51 deg 55' E	SS Clan Macphee	G. Drake, Third Officer	December 29th, 1931, at 8.15 p.m. A.T.S., the ship entered, or was suddenly surrounded by an area of white water. It seemed as though shoal water stretched from horizon to horizon, being of a pale milky appearance, making the sky, already dark with Strato-Cumulus and Fracto-Nimbus clouds, look inky black. The most noticeable feature of the phenomenon was that, although there was a fresh northerly breeze blowing, the previously rough sea and moderate short swell were appreciably diminished. In point of fact, where there had been breaking seas all over, there were during the hour the white water was visible, very few crests on the sea, as if this luminescence was of an oleaginous quality. Floating objects appeared jet black and two dimensional. A faint haze of light seemed to be cast upward from some depth, causing a strain to the eye. At 1745 G.M.T. the phenomenon faded, and where the sky had seemed black and the sea almost white the sea now became black and the sky lighter. An examination of a sample of surface water with a low power lens (sextant reader) failed to reveal any specimens of plankton or other marine life from which it was judged that the light came from some depth, an hypothesis apparently supported by its eerie diffused quality. No difference was noted, either in temperature or in density between the white and the surrounding water. Sea temperature 76 deg, density 1026.2. Position of ship, Latitude 11 deg 52' N., Longitude 51 deg 55' E., speed 12 knots.	Mar. Obs. 1932, 12, Vol IX, no 108	Arabian Sea	Milky Sea	0	N/A	71
09/05/1932	02:00 LOC	09/06/1932	05:00 LOC	12 deg 53' N	51 deg 21' E	SS Ballarat	D. H. F. Armstrong, Third Officer	September 5th 1932 at 2 a.m. the ship entered an area of phosphorescence of an uncommon type. Our position at that time was about sixty miles north of Cape Guardafui, the weather being fine, overcast and hazy with a wind S.S.E. 3 veering and freshening as we approached the Monsoon and we were on the fringe of the current which sets north between Abd-al-Kuri and the mainland. The phosphorescence was of a sub-surface character and seemed to be at some considerable depth; there were no sparkles or patches of brightness in the bow wave or in the wash along the ship's side. The effect of the phenomenon was that of diffused illumination at the bottom of the ocean giving a steady continuous light showing from horizon to horizon. A moderate S.E. swell was running with a rising sea. At 3 a.m. the horizon was indistinguishable and at 4 a.m. the water was brighter than the sky. At the approach of daylight the phosphorescence waned and the water was its normal colour until the evening. At 9 p.m. the illumination reappeared in the same form increasing in intensity until it showed from horizon to horizon and it remained visible on the second night until daylight on the 6th when we appeared to pass out of it altogether. No phosphorescence was seen on the following evening. A remarkable feature about the whole phenomenon was the difficulty experienced in gauging the visibility; particularly was this so on the evening of the 5th. At 11 p.m. the lights of a passing steamer were observed at a distance of seven miles when actually the visibility seemed to be less than two. The barometer throughout remained steady at 29.74 in. and the temperature of the air was 80 deg-78 deg. 2 a.m., 5th September 12 deg 53' N., Longitude 51 deg 21'. E Sea 85 deg - Wind S.S.E. 3. 8 a.m., 5th September, Latitude 12 deg 59' N., Longitude 52 deg 46' E. Sea 76 deg - Wind S. 5. 9 p.m., 5th September, Latitude 12 deg 26' N., Longitude 56 deg 00' E. Sea 76 deg - Wind S.S.W. 5. 5 a.m., 6th September, Latitude 12 deg 01' N., Longitude 58 deg 17' E. Sea 78 deg - Wind S.S.W. 5. The weather remained fine and hazy and a veil of cirrus cloud was thrown across the sky. The total distance run between these times was 400 miles.	Mar. Obs. 1933, 07, Vol X, no 111	Arabian Sea	Milky Sea	0	N/A	72
05/23/1933	04:00 GMT	05/23/1933	05:30 GMT	7 deg 35' N	27 deg 20' W	SS Princesa	E. J. Lougheed, Second Officer	23rd May, 1933, 0400 G.M.T., vessel passed through numerous irregular banks and patches of phosphorescence; this phenomenon lasted for approximately three-quarters of an hour, and at times the whole sea (as far as the eye could observe) was affected, emitting a light milky colour. Close to the vessel it had the appearance of milky patches thickly studded with bright stars, some of which seemed to expand and contract with little change in brilliance, but mainly they appeared to be floating inanimately on surface. Conditions at time, wind N.E. force 3, smooth sea, and short low N.N.E. swell, sky heavily overcast throughout. 0530 G.M.T. observed further patches of phosphorescence similar to, but less bright than, those seen previously	Mar. Obs. 1934, 04, Vol XI, no 114	North Atlantic	Milky Sea	0	N/A	73
08/20/1933	19:00 LOC	08/21/1933	04:45 LOC	12 deg 45' N	57 deg 09' E	SS Kertosono	J.M. van driest	In de nacht van 20 op 21 augustus, namen wij herhaalde malen de melkzee waar. Daar dit verschijnsel niet zoo vaak wordt waargenomen, komt het ons de moeite waard voor, een en ander nader te bescrijven. Stoomden met het s.s. "kertosono", van de Golf van Aden naar het eiland Mincoy. Namen met het oog op den Westmoesson de route benoorden Socotra. Na een betrekklijk koelan dag (gemiddelde dagtemperatuur 25 gradens C), waarbij een matige moesson doorstond, werd bij een frissche tot matige ZZW koelte, bij een watertemperatuur van gemiddeld 23 gradens C., de volgende verschijnselen waargenomen, gepaard gaande met zwaren daue en een sterke koraallucht. Stuurden N.106 gradens O. r.w. bij een vaart van ongeveer 12 3/4 mijl per uur. Te 19.00 op 12 gr 45' N.b. en 57 gr 09' O.l., liep het schip in een onafzienbare melkzee. Na een poosje in het donker op de brug te hebben gestaan, maakte het den indruk van een zich tot den horizon uitstrekkend ijsveld; waarboven de totaal onbewolkte hemel en melkweg bijzonder scherp afstaken. Het geheel maakte een imposanten indruk. Te 20.50 op 12 gr 38' N.b en 57 gr 34' O.l. was de melkzee gepasseerd. Er was geen directe overgang, geleidelijk nam de lichte kleur van het water af. Toen de melkzee uit het aicht was, werd de lucht boven de Zuidelijke en Westelijke kim hierdoor nog merkbaar verlicht. Te 22.20 op 12 gr 34' N.b. en 57 gr 54' O.l. werd opnieuw in een dergelijke melkzee gestoomd. thans was de kim minder duidelijk zichtbaar, hoewel het zicht goed leek. Te 23.40 op 12 gr 27' N.b. en 58 gr 10' O.l. was ook deze gepasseerd, doch bleef het water licht van kleur. Den 21sten Augustus van 0.45 tot 1.45 stoomende van 12 gr 23' N.b. en 58 gr 52' O.l. naar 12 gr 19' N.b. en 58 gr 36' O.l. werd opnieuw een zeer melkkleurig gedeelte gepasseerd, dat zich hier en daar een weinig groen geting voordeed. Thans was de afscheiding tusschen lucht en water zeer scherp. Hier en daar werden kleine donkere vlekken in het water waargenomen. Van 1.45 tot 3.00 stoomende van 12 gr 19' N.b. en 58 gr 36' O.l. naar 12 gr 15' N.b. en 58 gr 52' O.l. werd steeds licht melkkleurig getint water gezien. Van 3.00 tot 3.30 was de kleur van het water normaal. Na 3.30 tot 4.45 steeds melkkleurig water in verschillende kleurschakeeringen, waarna het verschijnsel geleidlijk afnam. Zooals bekend, wordt de melkkleurige zee veroorzaakt door microscopisch kleine lichtende organismen. 	Tim Wyatt, Unpublished Notes/Paper	Arabian Sea	Milky Sea	0	N/A	74
08/28/1933	00:00 LOC	08/29/1933	02:40 LOC	9 deg 33' S	127 deg 56' E	SS Orari	A. G. Robinson, Third Officer	On August 28th, 1933, early a.m., 150 miles east of Timor Island and to the northward of Sahul Bank, observed phenomenal luminosity of the sea water. Vessel at the time was steering 069 degrees at 14.0 knots bount Torres Strait, weather was very fine and clear, with light easterly breeze, slight sea and no swell. Temperature of the air 79 deg, sea 80 deg, no moon, but stars very clear and visible almost to the horizon. Phenomenon was first observed at midnight August 27th by a lightening in the sky to the eastward (a reflection from the sea on alto-cumulus cloud); this rapidly extended over the whole sky, the vessel entering dull luminous water at 00.30 A.T.S. August 28th in Latitude 9 deg 33' S., Longitude 127 deg 56' E. By 01.00 A.T.S. the sky was inky black, no clouds and stars showing very bright; the sea in all directions was a bright consistent milky-white colour showing up the horizon clearly and lighting up the ship and atmosphere to the brilliancy of a full moon. Speed was reduced and soundings taken as it appeared that the vessel might be in very shallow water, but no bottom was obtained at 120 fathoms. The water during this period did not appear to be lit by phosphorescence but as if by some powerful light at a considerable depth, the water having a strange transparent look and the bow wave showing dark in comparison to the water below, the whole effect being most extraordinary. These conditions continued with little change till 02.40 A.T.S. in Latitude 9 deg 24' S., Longitude 128 deg 31' E., when the sea became normal, the luminous bank passing to the westward showing up the western horizon and sky clearly as if lit by a full moon until 03.00 A.T.S. Air and sea temperatures and density remained unchanged throughout, 79 deg, 80 deg and 1023.0 respectively.	Mar. Obs. 1934, 07, Vol XI, no 115	Timor Sea	Milky Sea	0	N/A	75
02/11/1934	20:00 LOC	02/11/1934	21:45 LOC	17 deg 01' N	63 deg 42' E	SS Corfu	C. S. Cookie, Second Officer	February 11th, 1934, at 2000 S.T. the sea ahead was observed to be of a dull phosphorescence and stretching in a N. to S. direction as far as the eye could see. At 2012 the ship entered a large area of a dull phosphorescent-like glow which as ship progressed, entirely surrounded her, by 2020 the "glow" being of about the same intensity as the luminous dial of a watch. The wash created and the rush of water down the ship's side showed no outstanding phosphorescent brillance as is frequently noticeable, and the track left by several porpoises which were around the ship for a few minutes showed only the very least brighter. Only a very occasional bright patch was seen, the whole being of the same intensity and maintaining a uniform dull phosphorescent glow. The greatest brilliance occurred at 2030, after which and until 2133 it varied slightly and at which time the ship passed out of the area, though the glow was to be seen astern for a further 12 minutes. A ship two points on our port bow bound the same way -- distant about 4 miles -- proved difficult to see when she entered the luminous area, her lights being considerable "dimmed" by the brightness of the water. In a W. by S. to E. by N. direction this phenomenon extended an uninterrupted distance of 23 miles. During the time the phosphorescence continued, the horizon was not definable, but in its place the ship seemed to be enclosed by a "black wall" having a depth of about 3 deg. Above this the sky and low stars were easily discernible. Position of ship, Latitude 17 deg 01' N, Longitude 63 deg 42' E., Course 257 deg, speed 16 3/4 knots. Night of February 12th-13th. At frequent intervals during the night the ship passed through areas of an intense phosphorescent brilliance unlike the effect of last night, when the whole sea was of one colour, the sea in this case appeared like the sky on a clear cloudless night, the stars being represented (though magnified many times) by the phosphorescent patches which though mainly of small size, at times extended over area many yards square. These patches could be seen some distance and had a flashing appearance which at times looked like the lights of a ship so much that the lookouts reported them as such, and it was also noticeable from the bridge. When the was created by the ship broke, the brilliance was intense, lighting up the ship's side, and being almost of a turquoise blue colour. Approximate positio of ship at midnight, Latitude 15 deg N., Longitude 55 deg E., Course 256 deg, speed 16 3/4 knots. Night of February 13th-14th. A similar phenomenon to last night occurred again to-night but if anything the brilliance was greater and more spectacular, especially in the colour of the water disturbed by the ship's bow wave. The reflection from this could be noted on the deck head of the navigation bridge (height 70 ft. above sea level). Approximate position of ship at midnight, Latitude 13 deg N. Longitude 48 deg E. Course 257 deg, speed 16 1/4 knots.	Mar. Obs. 1935, 01, Vol XII, no 117	Arabian Sea	Milky Sea	0	N/A	76
08/04/1934	15:30 GMT	08/05/1934	01:20 LOC	12 deg 37' N	58 deg 20' E	SS Amarapoora	Second and Third Officers	August 4th, 1934, 7 p.m. (G.M.T. 15.30). Weather, strong S.S.W. wind, rough sea, heavy short S.S.W. swell, sky one-third clouded, A.-St., Ci. and Ci.-St. Vessel entered large patches of phosphorescent water. By 7.05 p.m. (Ship's Time) the sea had turned to milky white of intense luminosity. The impression given to the observer was that the vessel was in a snow-covered plain and also that the vessel was in shoal water. The position of the vessel confirmed that was was well over 100 fms. soundings. This milky white appearance of sea extended right around the horizon and the luminosity was so intense that the state of the sea and swell was entirely lost to visual observation. At 7.40 p.m. (Ship's Time) this phenomenon began to disappear gradually and by 7.50 p.m. the condition of the surrounding water became normal. Temperature air 77 deg F. Surface temperature of water 78 deg F. Position of ship, Latitude 12 deg 48' N., Longitude 57 deg 30' E., course 100 deg, speed 12 1/2 knots. Again at 10.30 p.m. (19.00 G.M.T.) with same weather conditions a similar phenomenon appeared. By observation close to the vessel's side the phosphorescence appeared to be deep-seated. Temperature air 76 deg F. Temperature of surface water 78 def F. At 1.00 a.m. the moon came up bearing E.N.E. and the milky white appearance of the sea commenced to disappear to the S.W. and by 1.20 a.m. the phenomenon cleared away. Position of ship at 10.30 p.m., Latitude 12 deg 37' N., Longitude 58 deg 20' E.	Mar. Obs. 1935, 07, Vol XII, no 119	Arabian Sea	Milky Sea	0	N/A	77
